StudentID,Gender,Course,Attendance,Marks,Result
101,Male,AIML,95,91,Pass
102,Female,CSE,93,89,Pass
103,Male,ISE,90,86,Pass
104,Female,AIML,88,84,Pass
105,Male,CSE,91,87,Pass
106,Female,ISE,92,90,Pass
107,Male,AIML,85,82,Pass
108,Female,CSE,94,93,Pass
109,Male,ISE,89,85,Pass
110,Female,AIML,96,95,Pass
111,Male,CSE,91,88,Pass
112,Female,ISE,92,89,Pass
113,Male,AIML,93,90,Fail
114,Female,CSE,78,65,Fail
115,Male,ISE,70,60,Fail
116,Female,AIML,68,58,Fail
117,Male,CSE,72,62,Fail
118,Female,ISE,75,64,Fail
